Sujeto,pinto,año,tipo,dimension,foto
Eduardo X. Arroyo,Renacer,1981,Tinta,18x12cm,https://www.pinterest.es/
Eduardo X. Arroyo,Luz(Autorretrato),1981,Tinta,30x25cm,https://www.pinterest.es/
Eduardo X. Arroyo,Desnudo,1980,Plumilla,15x10cm,https://www.pinterest.es/
Eduardo X. Arroyo,Sueño (estudio),1981,Tinta,25x35cm,https://www.pinterest.es/
Eduardo X. Arroyo,Taita árbol,1997,Plumilla,59x44cm,https://www.pinterest.es/
Eduardo X. Arroyo,Árbol sin raíces,1992,Tinta,59x44cm,https://www.pinterest.es/
Eduardo X. Arroyo,Circo del sol,1988,Tinta,30x35cm,https://www.pinterest.es/
Eduardo X. Arroyo,Árbol,1995,Plumilla,26.5cm,https://www.pinterest.es/
Eduardo X. Arroyo,Algunos de mis talleres de Guápulo,1989,Tinta,55x30cm,https://www.pinterest.es/
Eduardo X. Arroyo,Pura boca,1994,Tinta,23.5x18cm,https://www.pinterest.es/
Eduardo X. Arroyo,Jardín Franciscano,1989,Tinta,26x33cm,https://www.pinterest.es/
Eduardo X. Arroyo,Mi Jesús,1995,Tinta,105x75cm,https://www.pinterest.es/
Eduardo X. Arroyo,Yogui,1995,Aguada,12x8cm,https://www.pinterest.es/
Eduardo X. Arroyo,Homenaje a W. Turner,2005,Óleo,50x70cm,https://www.pinterest.es/
Eduardo X. Arroyo,Brevedad de la vida,2002,Acuarela y acrílico,61x101cm,https://www.pinterest.es/
Eduardo X. Arroyo,Alba,1996,Acuarela,101x70cm,https://www.pinterest.es/
Eduardo X. Arroyo,Silencio de las dársenas,1996,Acuarela,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,Navidad de Plitvice,1996,Acuarela y Óleo,75x104cm,https://www.pinterest.es/
Eduardo X. Arroyo,El dorado del estaño,1996,Acuarela,64x103cm,https://www.pinterest.es/
Eduardo X. Arroyo,El dolor del agua,1996,Acuarela,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,En la ciudad el tiempo de devora todo,1996,Acuarela,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,Guápulo,1996,Acuarela,18x13cm,https://www.pinterest.es/
Eduardo X. Arroyo,Lady Day,1996,Acuarela,105x76cm,https://www.pinterest.es/
Eduardo X. Arroyo,Manglar de emociones,1996,Acuarela,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,Panteones vivientes,1996,Acuarela,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,Plagados de adioses,1996,Acuarela,40x60cm,https://www.pinterest.es/
Eduardo X. Arroyo,Propio espíritu,1996,Acuarela,75x104cm,https://www.pinterest.es/
Eduardo X. Arroyo,Quintessence,1996,Acuarela,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,Mis amores,2002,Acuarela,11x44cm,https://www.pinterest.es/
Eduardo X. Arroyo,Tiempos de la Tierra,1995,aguada,10x25cm,https://www.pinterest.es/
Eduardo X. Arroyo,Anocheciendo en Mindo,1995,Acuarela y tinta,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,Una gota de silencio,1996,Acuarela,74x104cm,https://www.pinterest.es/
Eduardo X. Arroyo,Marina,1996,Acuarela,104x75cm,https://www.pinterest.es/
Eduardo X. Arroyo,Amanecer I,1997,Acuarela,20.5x79cm,https://www.pinterest.es/
Eduardo X. Arroyo,Requiem por Galápagos,1996,Acuarela,46x60cm,https://www.pinterest.es/
Eduardo X. Arroyo,Hadramaut (Montaña de incienso),1997,Acuarela,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,Shantiniketan,1997,Acuarela,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,Voces del dolor,1997,Acuarela,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,Manantial,1997,Acuarela,75x105cm,https://www.pinterest.es/
Eduardo X. Arroyo,Shaman,2000,Acuarela,105x75cm,https://www.pinterest.es/
Eduardo X. Arroyo,Homenaje a Su Dungpo (Su Shi),1998,Tinta con palitos,63x82cm,https://www.pinterest.es/
Eduardo X. Arroyo,Vavara,1998,Tinta,26x16cm,https://www.pinterest.es/
Eduardo X. Arroyo,El silencio de la silla,1998,Acuarela,105x75cm,https://www.pinterest.es/
Eduardo X. Arroyo,Falacia de la dualidad,1996,Acuarela,112x75cm,https://www.pinterest.es/
Eduardo X. Arroyo,Chirikahua,1997,Acuarela y tinta,75x104cm,https://www.pinterest.es/
Eduardo X. Arroyo,Alegrías del alma,1999,"Acuarela, sanguina y acrilico",108x73cm,https://www.pinterest.es/
Eduardo X. Arroyo,Claridades furtivas,1999,"Acrílico, óleo, tinta, lápiz",112x75cm,https://www.pinterest.es/
Eduardo X. Arroyo,La calma,1999,"Sanguina, acuarela",102x65cm,https://www.pinterest.es/
Eduardo X. Arroyo,Pobres errantes,1999,Óleo,47x35cm,https://www.pinterest.es/
Eduardo X. Arroyo,Equilibrio cósmico,1999,Óleo,47x35cm,https://www.pinterest.es/
Eduardo X. Arroyo,Paisaje,1999,Tinta,20x41cm,https://www.pinterest.es/
Eduardo X. Arroyo,Recuerdo roto,2000,Acuarela,105x75cm,https://www.pinterest.es/
Eduardo X. Arroyo,Ojo,1981,Tinta,18x18cm,https://www.pinterest.es/
