autor,pintura,año,tipo,dimension,url,http://dbpedia.org/ontology/thumbnail
Eduardo X. Arroyo,Renacer,1981,Tinta,18x12cm,https://www.pinterest.es/pin/602215781397696694,https://i.pinimg.com/originals/b7/01/f2/b701f2a004c2f02485c93273740a5beb.jpg
Eduardo X. Arroyo,Luz(Autorretrato),1981,Tinta,30x25cm,https://www.pinterest.es/pin/602215781397678430,https://i.pinimg.com/originals/79/c3/a5/79c3a5d9cb0cdb7323a0cfa54d47b764.jpg
Eduardo X. Arroyo,Desnudo,1980,Plumilla,15x10cm,https://www.pinterest.es/pin/602215781397677877,https://i.pinimg.com/originals/20/6d/24/206d24efcc84c5c73f39ad0eb6cb0f54.jpg
Eduardo X. Arroyo,Sueño (estudio),1981,Tinta,25x35cm,https://www.pinterest.es/pin/602215781397696750,https://i.pinimg.com/originals/b1/ba/1a/b1ba1ade43dce4e99c4380592b2bf8aa.jpg
Eduardo X. Arroyo,Taita árbol,1997,Plumilla,59x44cm,https://www.pinterest.es/pin/602215781397696760,https://i.pinimg.com/originals/07/21/47/0721470b6984ba14eaf2482f67e26867.jpg
Eduardo X. Arroyo,Árbol sin raíces,1992,Tinta,59x44cm,https://www.pinterest.es/pin/602215781397677638/,https://i.pinimg.com/originals/e6/54/42/e654424b9b7487d928d6881ab56512d4.jpg
Eduardo X. Arroyo,Circo del sol,1988,Tinta,30x35cm,https://www.pinterest.es/pin/602215781397677862/,https://i.pinimg.com/originals/0b/19/b5/0b19b50bd686e7e96ca8e3f4023d61e6.jpg
Eduardo X. Arroyo,Árbol,1995,Plumilla,26.5cm,https://www.pinterest.es/pin/602215781397677549/,https://i.pinimg.com/originals/34/97/c3/3497c3548d38f99a1fcbc3def6a60988.jpg
Eduardo X. Arroyo,Algunos de mis talleres de Guápulo,1989,Tinta,55x30cm,https://www.pinterest.es/pin/602215781397677463/,https://i.pinimg.com/originals/98/4e/ac/984eac01edb48e90d8ed33a4c42ed2c0.jpg
Eduardo X. Arroyo,Pura boca,1994,Tinta,23.5x18cm,https://www.pinterest.es/pin/602215781397678854,https://i.pinimg.com/originals/24/1a/92/241a9202669814f3541e52e5d8501b51.jpg
Eduardo X. Arroyo,Jardín Franciscano,1989,Tinta,26x33cm,https://www.pinterest.es/pin/602215781397678292/,https://i.pinimg.com/originals/ce/9f/2d/ce9f2d1cfbd1a849b83e69fa603c12ca.jpg
Eduardo X. Arroyo,Mi Jesús,1995,Tinta,105x75cm,https://www.pinterest.es/pin/602215781397678645,https://i.pinimg.com/originals/8e/c4/4f/8ec44fbc4908f74f74aae884e380983e.jpg
Eduardo X. Arroyo,Yogui,1995,Aguada,12x8cm,https://www.pinterest.es/pin/602215781397696852,https://i.pinimg.com/originals/a7/a4/0a/a7a40a923da361adfb56f094dafc6500.jpg
Eduardo X. Arroyo,Homenaje a W. Turner,2005,Óleo,50x70cm,https://www.pinterest.es/pin/602215781397678279,https://i.pinimg.com/originals/fb/8a/f8/fb8af8b8c417c6429b2af4b18267d7b5.jpg
Eduardo X. Arroyo,Brevedad de la vida,2002,Acuarela y acrílico,61x101cm,https://www.pinterest.es/pin/602215781397677644/,https://i.pinimg.com/originals/ce/2d/99/ce2d99045d3bcd3fd4c68cee7a1c25a3.jpg
Eduardo X. Arroyo,Alba,1996,Acuarela,101x70cm,https://www.pinterest.es/pin/602215781397675008/,https://i.pinimg.com/originals/7d/77/63/7d7763632f466a6d2d44ba13e1f1d460.jpg
Eduardo X. Arroyo,Silencio de las dársenas,1996,Acuarela,75x105cm,https://www.pinterest.es/pin/602215781397696729,https://i.pinimg.com/originals/02/da/af/02daaf3c8687b79260863dbcf47b036e.jpg
Eduardo X. Arroyo,Navidad de Plitvice,1996,Acuarela y Óleo,75x104cm,https://www.pinterest.es/pin/602215781397678668/,https://i.pinimg.com/originals/a4/dd/55/a4dd55bf73cbbc2a2ec43e3da232a488.jpg
Eduardo X. Arroyo,El dorado del estaño,1996,Acuarela,64x103cm,https://www.pinterest.es/pin/602215781397677888,https://i.pinimg.com/originals/c1/a5/65/c1a565d27210ff2c20d0652b8db4b6e8.jpg
Eduardo X. Arroyo,El dolor del agua,1996,Acuarela,75x105cm,https://www.pinterest.es/pin/602215781397677879,https://i.pinimg.com/originals/27/52/c4/2752c4fc5ca14e83dfeb14b9d6ad8e5a.jpg
Eduardo X. Arroyo,En la ciudad el tiempo de devora todo,1996,Acuarela,75x105cm,https://www.pinterest.es/pin/602215781397677924,https://i.pinimg.com/originals/73/ca/16/73ca16a058157408e452e21aa395e3ea.jpg
Eduardo X. Arroyo,Guápulo,1996,Acuarela,18x13cm,https://www.pinterest.es/pin/602215781397678066,https://i.pinimg.com/originals/f9/69/53/f969538f893e969a80606c918aea1265.jpg
Eduardo X. Arroyo,Lady Day,1996,Acuarela,105x76cm,https://www.pinterest.es/pin/602215781397678390,https://i.pinimg.com/originals/fd/b7/2c/fdb72cc6809ef092b0fb2cc62e6cb2dc.jpg
