Nombre común,Usos,Enfermedad
Igualan,Para curar los empeines sarpullidos y problemas dermatológicos. Para lavar el cabello y eliminar la caspa.,Empeines
Igualan,Para curar los empeines sarpullidos y problemas dermatológicos. Para lavar el cabello y eliminar la caspa.,Sarpullidos
Igualan,Para curar los empeines sarpullidos y problemas dermatológicos. Para lavar el cabello y eliminar la caspa.,Problemas dermatológicos
Igualan,Para curar los empeines sarpullidos y problemas dermatológicos. Para lavar el cabello y eliminar la caspa.,Caspa
Mollentín,Para tratar las inflamaciones provocadas por golpes en extremidades de animales y humanos.,Inflamaciones por golpes
"Calaguala, carabala",Planta útil para tratar afecciones del hígado y riñón. Es una planta fresca,Afecciones del hígado
"Calaguala, carabala",Planta útil para tratar afecciones del hígado y riñón. Es una planta fresca,Afecciones del riñón
"Cucharillo, gañil","Es una planta “fresca”, se usa para aliviar inflamaciones de los riñones. Es una de las principales plantas utilizadas en la elaboración de la horchata lojana. Es una planta fresca.",Inflamaciones de los riñones
Perlilla,"En las comunidades rurales se usa para curar el sarampión y, para tratar las infecciones respiratorias.",Sarampión
Perlilla,"En las comunidades rurales se usa para curar el sarampión y, para tratar las infecciones respiratorias.",Infecciones respiratorias
Cascarilla,De la cascara se obtiene la quinina para tratar el paludismo que es el uso principal de la especie. Para tratar el reumatismo y elevar las defensas del cuerpo contra la gripe y neumonía.,Paludismo
Cascarilla,De la cascara se obtiene la quinina para tratar el paludismo que es el uso principal de la especie. Para tratar el reumatismo y elevar las defensas del cuerpo contra la gripe y neumonía.,Reumatismo
Cascarilla,De la cascara se obtiene la quinina para tratar el paludismo que es el uso principal de la especie. Para tratar el reumatismo y elevar las defensas del cuerpo contra la gripe y neumonía.,Gripe
Cascarilla,De la cascara se obtiene la quinina para tratar el paludismo que es el uso principal de la especie. Para tratar el reumatismo y elevar las defensas del cuerpo contra la gripe y neumonía.,Neumonía
Monte de raposo,Se usa para tratar el “mal aire” y “mal de ojo”. es una planta cálida.,Mal aire
Monte de raposo,Se usa para tratar el “mal aire” y “mal de ojo”. es una planta cálida.,Mal de ojo
"Consuelda, suelda",Es utilizada para curaciones del “mal aire” y aliviar el dolor de los huesos producido por el frio; es una planta calida.,Mal aire
"Consuelda, suelda",Es utilizada para curaciones del “mal aire” y aliviar el dolor de los huesos producido por el frio; es una planta calida.,Dolores de los huesos
Matico de canuto,Para dolores musculares y de los huesos.,Dolores musculares
Matico de canuto,Para dolores musculares y de los huesos.,Dolores de los huesos
Lechuga roja,Para tratar afecciones del sistema nervioso.,Afecciones del sistema nervioso
